subjective_label,objective_source,benchmark_category,n_models,spearman_rank_vs_objective_rank,spearman_rank_vs_objective_rank_p,spearman_rank_vs_score,spearman_rank_vs_score_p,spearman_worth_vs_score,spearman_worth_vs_score_p,pearson_worth_vs_score,pearson_worth_vs_score_p
intel,Speaker Similarity (wespeaker),Speaker Similarity (wespeaker),18,-0.24458204334365324,0.3280041243603068,0.24458204334365324,0.3280041243603068,-0.24458204334365324,0.3280041243603068,-0.16377133096697358,0.5161135873057286
intel,UTMOS,UTMOS,18,0.8637770897832818,3.854410891744889e-06,-0.8637770897832818,3.854410891744889e-06,0.8637770897832818,3.854410891744889e-06,0.8030672823046401,6.004841875515622e-05
intel,WER (whisper),WER (whisper),18,0.8018575851393188,6.280599966390895e-05,-0.8018575851393188,6.280599966390895e-05,0.8018575851393188,6.280599966390895e-05,0.815687875057874,3.6887055606116704e-05
intel,aggregated_results_sap__libritts.csv,GENERIC,18,0.8245614035087718,2.5608231598810946e-05,-0.8245614035087718,2.5608231598810946e-05,0.8245614035087718,2.5608231598810946e-05,0.8391915983705556,1.3398859653855075e-05
intel,aggregated_results_sap__libritts.csv,INTELLIGIBILITY,18,0.08565531475748193,0.7354104124232369,-0.08565531475748193,0.7354104124232369,0.08565531475748193,0.7354104124232369,0.2227624005227279,0.37427711352025544
intel,aggregated_results_sap__libritts.csv,OVERALL,18,0.8534571723426212,6.681541734969331e-06,-0.8534571723426212,6.681541734969331e-06,0.8534571723426212,6.681541734969331e-06,0.90055984327906,3.50479645314945e-07
intel,aggregated_results_sap__libritts.csv,PROSODY,18,0.6367389060887513,0.004489848099432227,-0.6367389060887513,0.004489848099432227,0.6367389060887513,0.004489848099432227,0.6594772911915883,0.0029068636835286412
intel,aggregated_results_sap__libritts.csv,SPEAKER,18,0.8761609907120743,1.8727785396152314e-06,-0.8761609907120743,1.8727785396152314e-06,0.8761609907120743,1.8727785396152314e-06,0.8999559531649515,3.6715359458083084e-07
intel,aggregated_results_sap__sap_readable_01.csv,GENERIC,18,-0.6862745098039216,0.0016609135348996636,0.6862745098039216,0.0016609135348996636,-0.6862745098039216,0.0016609135348996636,-0.7024666893154198,0.0011512874172290655
intel,aggregated_results_sap__sap_readable_01.csv,INTELLIGIBILITY,18,-0.42414860681114547,0.0793889023946049,0.42414860681114547,0.0793889023946049,-0.42414860681114547,0.0793889023946049,-0.32872955791708314,0.1828825865051055
intel,aggregated_results_sap__sap_readable_01.csv,OVERALL,18,-0.5727554179566564,0.012978178834505893,0.5727554179566564,0.012978178834505893,-0.5727554179566564,0.012978178834505893,-0.525812521325143,0.02501069989842336
intel,aggregated_results_sap__sap_readable_01.csv,PROSODY,18,-0.587203302373581,0.010402557727151924,0.587203302373581,0.010402557727151924,-0.587203302373581,0.010402557727151924,-0.5497560990779097,0.01810224637668582
intel,aggregated_results_sap__sap_readable_01.csv,SPEAKER,18,-0.4489164086687306,0.061657362626140765,0.4489164086687306,0.061657362626140765,-0.4489164086687306,0.061657362626140765,-0.43935861081750033,0.06810891214692669
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,GENERIC,18,-0.7894736842105263,9.781072774060512e-05,0.7894736842105263,9.781072774060512e-05,-0.7894736842105263,9.781072774060512e-05,-0.7548755470855057,0.0002934436484770975
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,INTELLIGIBILITY,18,-0.5170278637770898,0.02800614736378717,0.5170278637770898,0.02800614736378717,-0.5170278637770898,0.02800614736378717,-0.45180853163366275,0.05979822586591857
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,OVERALL,18,-0.6718266253869969,0.0022613045197175117,0.6718266253869969,0.0022613045197175117,-0.6718266253869969,0.0022613045197175117,-0.6200154506393722,0.006054238837772196
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,PROSODY,18,-0.5933952528379773,0.00943261527195847,0.5933952528379773,0.00943261527195847,-0.5933952528379773,0.00943261527195847,-0.5744840210007817,0.01264567421381826
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,SPEAKER,18,-0.7337461300309597,0.0005283926713947288,0.7337461300309597,0.0005283926713947288,-0.7337461300309597,0.0005283926713947288,-0.6440826055515265,0.003916235538483275
sim,Speaker Similarity (wespeaker),Speaker Similarity (wespeaker),18,0.7461300309597524,0.0003768588845993769,-0.7461300309597524,0.0003768588845993769,0.7461300309597524,0.0003768588845993769,0.7985726655465668,7.08432444624971e-05
sim,UTMOS,UTMOS,18,-0.08978328173374613,0.7231227825767574,0.08978328173374613,0.7231227825767574,-0.08978328173374613,0.7231227825767574,0.0003249811370630573,0.9989788803214579
sim,WER (whisper),WER (whisper),18,0.017543859649122806,0.9449151835129637,-0.017543859649122806,0.9449151835129637,0.017543859649122806,0.9449151835129637,0.1309701538933996,0.6044524246566875
sim,aggregated_results_sap__libritts.csv,GENERIC,18,0.04437564499484004,0.8612061336731367,-0.04437564499484004,0.8612061336731367,0.04437564499484004,0.8612061336731367,0.06524105324332842,0.7970271384407006
sim,aggregated_results_sap__libritts.csv,INTELLIGIBILITY,18,0.5810113519091847,0.0114508540069193,-0.5810113519091847,0.0114508540069193,0.5810113519091847,0.0114508540069193,0.5652206188269372,0.014509809213244938
sim,aggregated_results_sap__libritts.csv,OVERALL,18,0.29205366357069146,0.23960176390544208,-0.29205366357069146,0.23960176390544208,0.29205366357069146,0.23960176390544208,0.25730265493520305,0.30265366114438125
sim,aggregated_results_sap__libritts.csv,PROSODY,18,-0.13725490196078433,0.5870615369663568,0.13725490196078433,0.5870615369663568,-0.13725490196078433,0.5870615369663568,-0.07462885119920667,0.7685264000429237
sim,aggregated_results_sap__libritts.csv,SPEAKER,18,0.24871001031991744,0.31964521777772886,-0.24871001031991744,0.31964521777772886,0.24871001031991744,0.31964521777772886,0.2931144136356554,0.23782034028000953
sim,aggregated_results_sap__sap_readable_01.csv,GENERIC,18,0.3663570691434469,0.13483747906980872,-0.3663570691434469,0.13483747906980872,0.3663570691434469,0.13483747906980872,0.3660132205757498,0.13523183616251772
sim,aggregated_results_sap__sap_readable_01.csv,INTELLIGIBILITY,18,0.44685242518059853,0.06301029106386723,-0.44685242518059853,0.06301029106386723,0.44685242518059853,0.06301029106386723,0.5330319806151349,0.022741346134221286
sim,aggregated_results_sap__sap_readable_01.csv,OVERALL,18,0.46955624355005166,0.04929337692796817,-0.46955624355005166,0.04929337692796817,0.46955624355005166,0.04929337692796817,0.4947711676971198,0.036846818802226296
sim,aggregated_results_sap__sap_readable_01.csv,PROSODY,18,0.4324045407636739,0.0731081920707255,-0.4324045407636739,0.0731081920707255,0.4324045407636739,0.0731081920707255,0.3161616457256802,0.2011953191648197
sim,aggregated_results_sap__sap_readable_01.csv,SPEAKER,18,0.5376676986584108,0.021371414657806453,-0.5376676986584108,0.021371414657806453,0.5376676986584108,0.021371414657806453,0.5532038642932819,0.017246252408648084
sim,aggregated_results_sap__sap_readable_01_very_high_wer.csv,GENERIC,18,0.27347781217750256,0.2721726853194866,-0.27347781217750256,0.2721726853194866,0.27347781217750256,0.2721726853194866,0.3036558022768834,0.22057633954107583
sim,aggregated_results_sap__sap_readable_01_very_high_wer.csv,INTELLIGIBILITY,18,0.4282765737874097,0.07620095935240204,-0.4282765737874097,0.07620095935240204,0.4282765737874097,0.07620095935240204,0.5070367682461205,0.031743882376927844
