subjective_label,objective_source,benchmark_category,n_models,spearman_rank_vs_objective_rank,spearman_rank_vs_objective_rank_p,spearman_rank_vs_score,spearman_rank_vs_score_p,spearman_worth_vs_score,spearman_worth_vs_score_p,pearson_worth_vs_score,pearson_worth_vs_score_p
intel,aggregated_results_sap__libritts.csv,SPEAKER,18,0.8761609907120743,1.8727785396152314e-06,-0.8761609907120743,1.8727785396152314e-06,0.8761609907120743,1.8727785396152314e-06,0.8999559531649515,3.6715359458083084e-07
intel,UTMOS,UTMOS,18,0.8637770897832818,3.854410891744889e-06,-0.8637770897832818,3.854410891744889e-06,0.8637770897832818,3.854410891744889e-06,0.8030672823046401,6.004841875515622e-05
intel,aggregated_results_sap__libritts.csv,OVERALL,18,0.8534571723426212,6.681541734969331e-06,-0.8534571723426212,6.681541734969331e-06,0.8534571723426212,6.681541734969331e-06,0.90055984327906,3.50479645314945e-07
intel,aggregated_results_sap__libritts.csv,GENERIC,18,0.8245614035087718,2.5608231598810946e-05,-0.8245614035087718,2.5608231598810946e-05,0.8245614035087718,2.5608231598810946e-05,0.8391915983705556,1.3398859653855075e-05
intel,WER (whisper),WER (whisper),18,0.8018575851393188,6.280599966390895e-05,-0.8018575851393188,6.280599966390895e-05,0.8018575851393188,6.280599966390895e-05,0.815687875057874,3.6887055606116704e-05
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,GENERIC,18,-0.7894736842105263,9.781072774060512e-05,0.7894736842105263,9.781072774060512e-05,-0.7894736842105263,9.781072774060512e-05,-0.7548755470855057,0.0002934436484770975
sim,Speaker Similarity (wespeaker),Speaker Similarity (wespeaker),18,0.7461300309597524,0.0003768588845993769,-0.7461300309597524,0.0003768588845993769,0.7461300309597524,0.0003768588845993769,0.7985726655465668,7.08432444624971e-05
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,SPEAKER,18,-0.7337461300309597,0.0005283926713947288,0.7337461300309597,0.0005283926713947288,-0.7337461300309597,0.0005283926713947288,-0.6440826055515265,0.003916235538483275
intel,aggregated_results_sap__sap_readable_01.csv,GENERIC,18,-0.6862745098039216,0.0016609135348996636,0.6862745098039216,0.0016609135348996636,-0.6862745098039216,0.0016609135348996636,-0.7024666893154198,0.0011512874172290655
intel,aggregated_results_sap__sap_readable_01_very_high_wer.csv,OVERALL,18,-0.6718266253869969,0.0022613045197175117,0.6718266253869969,0.0022613045197175117,-0.6718266253869969,0.0022613045197175117,-0.6200154506393722,0.006054238837772196
