"rank","item","estimate","SE","quasiSE","quasiVar","estimate_vs_mean","se_vs_mean","z_vs_mean","p_vs_mean","estimate_vs_recording","p_vs_recording"
1,"styletts2",2.44697819734404,0.214287067048305,0.135900837374863,0.0184690375991891,1.57824627379609,0.133369924339462,11.8335995286242,2.61674691923882e-32,2.44697819734404,3.35462459772075e-30
2,"fish.speech",2.33973696175463,0.216771283576955,0.138258314138287,0.0191153614283612,1.47100503820668,0.135415220970354,10.8629224075831,1.73118693621141e-27,2.33973696175463,3.69147094935023e-27
3,"openvoice",2.23589580650502,0.212811763110167,0.133790675746912,0.0178999449168152,1.36716388295707,0.13151679521302,10.39535582313,2.60313518319594e-25,2.23589580650502,8.06747329486153e-26
4,"qwen3.tts",2.20698429417246,0.210354548733875,0.130088962190959,0.0169231380839208,1.33825237062451,0.128034138915519,10.4523089072949,1.43000742697454e-25,2.20698429417246,9.42804700487604e-26
5,"tortoise",1.93963770677368,0.210372973999456,0.133656455957743,0.017864048219184,1.07090578322573,0.130902276176086,8.18095616446866,2.81600341427302e-16,1.93963770677368,2.97114883661156e-20
6,"indextts",1.9212030193773,0.204788297318108,0.124913817962112,0.0156034619178718,1.05247109582935,0.123099986822461,8.54972549548083,1.23381596498661e-17,1.9212030193773,6.50961740867314e-21
7,"f5.tts",1.46426118294162,0.209413508240162,0.12769197044665,0.016305239316548,0.595529259393667,0.125642224882281,4.73988151635839,2.13843228421751e-06,1.46426118294162,2.70608263165778e-12
8,"whisperspeech",1.20841567669501,0.212092547183741,0.135827526083535,0.0184491168419734,0.339683753147063,0.132598836088388,2.56174008134307,0.0104149229983407,1.20841567669501,1.21515188512845e-08
9,"vibevoice",0.92878102689503,0.21063091407622,0.133643112349536,0.0178604814784706,0.0600491033470797,0.130653101322919,0.459607179156533,0.64579820514332,0.92878102689503,1.03600448076967e-05
10,"xtts",0.48960136589781,0.222812748899368,0.150443648474121,0.0226332913662048,-0.379130557650141,0.145686495636465,-2.60237269071387,0.00925811814503966,0.48960136589781,0.0279942511503089
11,"e2.tts",0.198223341447589,0.216775186552448,0.146920986388895,0.021585776241486,-0.670508582100361,0.142479708721562,-4.70599349280456,2.52632576315556e-06,0.198223341447589,0.360496740968412
12,"hierspeech",0.0818880149053242,0.217807398090599,0.14239395399165,0.0202760381333762,-0.786843908642627,0.138290978617451,-5.68977034155816,1.27210344054914e-08,0.0818880149053242,0.706942723484026
13,"vevo",0.029618680831655,0.222280642902402,0.153435024944548,0.0235423068797341,-0.839113242716296,0.148427859103375,-5.65334060455512,1.57359039447602e-08,0.029618680831655,0.893996433434947
14,"recording",0,0,0.163095642375904,0.0266001885620089,-0.868731923547951,0.157257140448857,-5.52427648797593,3.30846112149361e-08,0,NA
15,"maskgct",-0.0537024851800524,0.219549096356962,0.150032928751323,0.0225098797096994,-0.922434408728003,0.145205315666708,-6.35262148973446,2.11676126028784e-10,-0.0537024851800524,0.806763426293003
16,"gpt.sovits",-0.0710059488697125,0.223522290710138,0.154495626459868,0.0238688985952272,-0.939737872417663,0.149399919592551,-6.29008285265848,3.17296577087643e-10,-0.0710059488697125,0.750736550108225
17,"voicecraft",-0.653807459549089,0.230465464708536,0.16752714288525,0.0280653436032949,-1.52253938309704,0.161152002514702,-9.44784650105814,3.45873080651233e-21,-0.653807459549089,0.00455538878761424
18,"metavoice",-1.07553475807921,0.251923653962257,0.197070011248568,0.0388365893335107,-1.94426668162716,0.188707569202421,-10.3030667494932,6.82501128694189e-25,-1.07553475807921,1.96097496277664e-05
