"rank","item","estimate","SE","quasiSE","quasiVar","estimate_vs_mean","se_vs_mean","z_vs_mean","p_vs_mean","estimate_vs_recording","p_vs_recording"
1,"indextts",0.962534929784353,0.206608949865003,0.147660938168754,0.0218037526608765,1.36279142586735,0.14433129108093,9.4421065290908,3.65359060740094e-21,0.962534929784353,3.18169051738087e-06
2,"qwen3.tts",0.791079988365953,0.209710915522371,0.153329691297559,0.0235099942334048,1.19133648444895,0.149458660042666,7.97101007133919,1.57382682641661e-15,0.791079988365953,0.000161788259741163
3,"e2.tts",0.67182568139416,0.206930524195455,0.146465977973165,0.0214522827036357,1.07208217747716,0.142957636126234,7.49929983824361,6.41596136532785e-14,0.67182568139416,0.00116782413441694
4,"fish.speech",0.355839445079671,0.206266217446182,0.144226985289958,0.0208014232858297,0.756095941162669,0.140945448417232,5.3644580201302,8.11926396149919e-08,0.355839445079671,0.0845010725988206
5,"f5.tts",0.181825571787109,0.203292534300763,0.146036201203132,0.0213265720618415,0.582082067870107,0.142664568523847,4.08007449847515,4.50212696047544e-05,0.181825571787109,0.371105994240301
6,"maskgct",0.140665032548458,0.203095344261637,0.144790526135925,0.0209642964587178,0.540921528631456,0.141392689469706,3.82566829063217,0.000130417803256333,0.140665032548458,0.48855691026041
7,"recording",0,0,0.143914999596787,0.0207115271089432,0.400256496082998,0.14045852836796,2.84964181765058,0.00437684883097266,0,NA
8,"vibevoice",-0.419851736565557,0.209585880940715,0.150565317840536,0.0226699149364217,-0.0195952404825586,0.146614339948778,-0.133651595672051,0.893678082702688,-0.419851736565557,0.0451510650443022
9,"voicecraft",-0.576927185670687,0.207829911934132,0.145828093605949,0.0212658328847453,-0.176670689587689,0.142289454512134,-1.2416288346416,0.214373537921578,-0.576927185670687,0.00550392536275828
10,"gpt.sovits",-0.644218378544644,0.213304285461657,0.157195117440077,0.0247103049469995,-0.243961882461646,0.152625041017088,-1.59843942275719,0.109945216897799,-0.644218378544644,0.00252620427653186
11,"hierspeech",-0.754505234743026,0.214724008324713,0.159021218448268,0.0252877479167718,-0.354248738660028,0.154328768374174,-2.29541609378455,0.0217092899097244,-0.754505234743026,0.00044168321606074
12,"styletts2",-0.787962267314379,0.211040172012242,0.156214425564673,0.0244029467545007,-0.387705771231381,0.151548989522444,-2.55828674577843,0.0105189315310882,-0.787962267314379,0.000188681628475824
13,"tortoise",-0.827690328166699,0.213926510847906,0.163967502357735,0.0268853418294339,-0.427433832083701,0.158983754981883,-2.68853778257036,0.00717657136980366,-0.827690328166699,0.000109264506559168
14,"vevo",-0.944343404792295,0.210835131660984,0.154921468753147,0.0240006614806323,-0.544086908709297,0.15055588000033,-3.61385359846526,0.000301679449071511,-0.944343404792295,7.49721266270118e-06
15,"metavoice",-1.17557209871395,0.224617341494626,0.172096587170551,0.029617235315751,-0.77531560263095,0.166341951943636,-4.66097453812289,3.14715659542117e-06,-1.17557209871395,1.66180802028111e-07
16,"xtts",-1.28878163920876,0.224596217664258,0.174366297072773,0.0304036055548706,-0.888525143125766,0.168330980366676,-5.27844096903784,1.30287623762251e-07,-1.28878163920876,9.56789663133185e-09
17,"whisperspeech",-1.35491983218282,0.217318182389458,0.162692785211421,0.0264689423598495,-0.954663336099822,0.1575745985832,-6.05848496320781,1.37409590035778e-09,-1.35491983218282,4.52562737710901e-10
18,"openvoice",-1.53361547255085,0.22665407267618,0.174366395070603,0.0304036397299175,-1.13335897646785,0.168293952780971,-6.73440107466537,1.64606549227978e-11,-1.53361547255085,1.32093214151119e-11
