model,wer_mean,wer_std,n_utterances
openvoice,0.10708708491822748,0.19012934074840493,43
styletts2,0.1368598231338373,0.2641991026967773,43
indextts,0.14732330359226212,0.20446345359649942,43
hierspeech,0.19622697209014345,0.27631663523764444,44
fish-speech,0.2138088272199525,0.29216038620517093,44
f5-tts,0.24795403137013797,0.39746386827709784,43
whisperspeech,0.33909159184095244,0.3860817665963985,44
xtts,0.3459577666578945,0.5814477259064935,44
vibevoice,0.3463621237040615,0.4104475295021942,43
tortoise,0.35296188430779224,0.3733389651556003,40
maskgct,0.3616229583620888,0.38431850878475293,42
e2-tts,0.4556326079298312,0.44379439128907966,42
gpt-sovits,0.4988193187622201,0.6023818666600766,43
voicecraft,0.506332041786006,0.39966060523416913,44
vevo,0.622749916324085,0.4731124272865609,44
metavoice,0.6251683259196047,0.3423767950278274,44
qwen3-tts,0.6350695740949669,0.8941010691968143,42
recording,0.7326311156873817,0.3602969736316109,44
