model,utmos_mean,utmos_std,n_utterances
openvoice,3.6538609793019847,0.3571928994633903,43
styletts2,3.4815797805786133,0.5930378772956175,43
hierspeech,3.447894649072127,0.46087858640053714,44
qwen3-tts,3.3778048838887895,0.8526334079046199,42
fish-speech,3.2426133318380876,0.6553064710585086,44
tortoise,2.9044968277215957,0.7578112581654718,40
whisperspeech,2.7090329148552637,0.78412736607417,44
f5-tts,2.6518560065779577,0.5295352765011191,43
indextts,2.5293442426725874,0.6191566975428778,43
xtts,2.3444436300884592,0.6588120867791638,44
vibevoice,2.3183089134305024,0.6168648717370941,43
gpt-sovits,2.2825377186139426,0.5313206774760413,42
maskgct,2.2643236063775563,0.49306282040478744,42
vevo,2.260977967218919,0.6779282309844133,44
e2-tts,2.2364899743170965,0.6054820563306684,42
voicecraft,2.060300325805491,0.5141553338827567,44
recording,1.880565041719481,0.49713515057341207,86
metavoice,1.80183483524756,0.47750969392200737,44
