model,spk_sim_mean,spk_sim_std,n_utterances
e2-tts,0.6498188277085623,0.12507291210348584,42
indextts,0.6447101145289665,0.10715743023027227,43
recording,0.6255694431337443,0.12027067673276015,44
maskgct,0.5830643560205188,0.12316413363014007,42
f5-tts,0.5458099346521289,0.13735561672776975,43
gpt-sovits,0.47670755067536996,0.12271213113140922,43
vevo,0.4750008308752017,0.16861332882022995,44
vibevoice,0.4525206192548192,0.14012866553132558,43
qwen3-tts,0.4512720677469458,0.20205008093159013,42
hierspeech,0.4510327692736279,0.12083837751712334,44
fish-speech,0.4302044815637849,0.1410178592695861,44
metavoice,0.4007420324805108,0.1271471613976692,44
xtts,0.3945998151532628,0.12780144853811481,44
whisperspeech,0.36414632404392416,0.12958649754003795,44
styletts2,0.3339828587202139,0.11225089699984211,43
voicecraft,0.32622107473964035,0.14168902263914152,44
tortoise,0.31926357243210074,0.13456871277918414,40
openvoice,0.2693812544782494,0.0978968366948157,43
