model,per_mean,per_std,n_utterances
openvoice,0.4921787557070658,0.2123978716748901,43
styletts2,0.5326604928791853,0.248793461253937,43
hierspeech,0.5376369330583013,0.24852713593276318,44
fish-speech,0.5962041695082475,0.2533259809713845,44
tortoise,0.6439733065674615,0.34198499434718793,40
f5-tts,0.6546871896380503,0.4144094071567458,43
indextts,0.6587924432077317,0.2466685856620355,43
whisperspeech,0.6830451487678308,0.18213077150790108,44
xtts,0.7002058226662633,0.29816341020936954,44
vibevoice,0.7099214304057468,0.2250660188169483,43
vevo,0.7894398444754127,0.32809114373901876,44
maskgct,0.7981972348355801,0.32547978232828495,42
e2-tts,0.7998518767677593,0.39355245844634745,42
gpt-sovits,0.8154765017935686,0.5164574629844916,42
metavoice,0.8401040225243304,0.12438884279755195,44
voicecraft,0.8429409947851553,0.23147133301796297,44
recording,0.8445399997676991,0.14367138082064973,88
qwen3-tts,1.1667246478926732,1.2949900940610197,42
