benchmark_category,dataset,score_mean,score_std,time_taken_sum,noise_dataset,reference_dataset
SPEAKER,recording/default/eng,85.4113062722989,14.293184311240852,31.641559839248657,,
SPEAKER,e2-tts/default/eng,84.73907370204844,12.034490097630691,30.363602876663208,,
SPEAKER,maskgct/default/eng,84.57400172106412,12.461422864936003,32.70223593711853,,
SPEAKER,indextts/default/eng,83.84137351834104,10.21755652065991,32.735410928726196,,
SPEAKER,gpt-sovits/v4/eng,83.52170812797345,12.512117582309733,30.324454307556152,,
SPEAKER,vevo/vevo1.5/eng,83.20207886857442,13.49379502154248,31.6684513092041,,
SPEAKER,vibevoice/default/eng,82.82909238110327,12.286466805382766,30.16530418395996,,
SPEAKER,f5-tts/v1/eng,81.43632377134959,12.94582812129237,29.96598744392395,,
SPEAKER,xtts/v2/eng,80.55996847058101,13.438319151431413,9.180361032485962,,
SPEAKER,voicecraft/giga830m_tts_enhanced/eng,80.5504721958302,12.621602929078028,29.989529371261597,,
SPEAKER,hierspeech/v1.1/eng,80.03365080504724,12.517901575611326,28.419429302215576,,
SPEAKER,qwen3-tts/1.7b-base/eng,79.56717261913379,13.75554212417458,30.105806827545166,,
SPEAKER,whisperspeech/small/eng,79.01137316730103,12.902657085651024,10.139302968978882,,
SPEAKER,fish-speech/s1-mini/eng,78.10215946225657,13.042092923496794,30.400683164596558,,
SPEAKER,styletts2/default/eng,77.87800683858147,14.432692496351306,32.39182949066162,,
SPEAKER,metavoice/default/eng,77.53109610963507,16.04243276177297,30.023085117340088,,
SPEAKER,tortoise/default/eng,77.36807232750304,14.291100969460711,31.755627393722534,,
SPEAKER,openvoice/default/eng,75.29634658629894,14.641147241509442,32.89775991439819,,
PROSODY,recording/default/eng,90.67473903968262,8.178843324087149,18.503512620925903,,
PROSODY,hierspeech/v1.1/eng,86.03920695491655,13.119998803407734,18.321104288101196,,
PROSODY,e2-tts/default/eng,85.80260024327133,16.752066805921743,22.64093852043152,,
PROSODY,vibevoice/default/eng,85.55951258276525,14.56804577757559,19.127613067626953,,
PROSODY,gpt-sovits/v4/eng,85.34921853345678,14.067988352028951,22.660905122756958,,
PROSODY,maskgct/default/eng,84.15756181873975,11.28680998579468,22.66868805885315,,
PROSODY,voicecraft/giga830m_tts_enhanced/eng,83.93393892916484,13.666785919332192,20.522664070129395,,
PROSODY,f5-tts/v1/eng,82.00902655409001,17.93705224181379,22.67788863182068,,
PROSODY,indextts/default/eng,81.6824899847897,15.525213458009587,17.07598376274109,,
PROSODY,xtts/v2/eng,81.19418987696697,14.216154192223122,9.105721235275269,,
PROSODY,metavoice/default/eng,79.87740970139144,11.986538061440283,21.781380653381348,,
PROSODY,qwen3-tts/1.7b-base/eng,79.87131580721093,16.42284161638772,19.512824535369873,,
PROSODY,whisperspeech/small/eng,78.71476891463793,16.11454916592993,9.220235824584961,,
PROSODY,tortoise/default/eng,77.64418885760303,15.712956373413917,17.704012632369995,,
PROSODY,vevo/vevo1.5/eng,77.14493636772478,12.147972856175356,20.836690664291382,,
PROSODY,openvoice/default/eng,76.41773858360757,17.19241350459488,20.941749572753906,,
PROSODY,styletts2/default/eng,75.96916386332106,15.163113631648017,20.874488830566406,,
PROSODY,fish-speech/s1-mini/eng,75.29496736434987,13.122421479033502,22.93454122543335,,
OVERALL,recording/default/eng,89.90884378142171,0.0,1016.7113807201385,,
OVERALL,maskgct/default/eng,86.89803874529183,0.0,1058.4241461753845,,
OVERALL,e2-tts/default/eng,86.5005812842495,0.0,1018.6926467418671,,
OVERALL,vibevoice/default/eng,86.03655275616114,0.0,972.2923138141632,,
OVERALL,gpt-sovits/v4/eng,84.57347308272416,0.0,1055.9300730228424,,
OVERALL,indextts/default/eng,84.43305873571614,0.0,1053.1265392303467,,
OVERALL,hierspeech/v1.1/eng,84.42928431330182,0.0,1053.744957447052,,
OVERALL,voicecraft/giga830m_tts_enhanced/eng,84.1299118618021,0.0,1006.4394721984863,,
OVERALL,vevo/vevo1.5/eng,82.85793528939948,0.0,1013.950160741806,,
OVERALL,xtts/v2/eng,82.82811211617077,0.0,469.8752636909485,,
OVERALL,f5-tts/v1/eng,82.46518516799486,0.0,1054.8192172050476,,
OVERALL,qwen3-tts/1.7b-base/eng,81.1877702851672,0.0,1011.1768934726715,,
OVERALL,metavoice/default/eng,79.0662458785258,0.0,1050.1141827106476,,
