model,spk_sim_mean,spk_sim_std,n_utterances
e2-tts,0.7128348929407708,0.10079852910112191,191
indextts,0.6703362659706423,0.11210973235499651,192
recording,0.6454861923048534,0.11292808551569271,193
maskgct,0.6265693063511274,0.11291216418032836,191
f5-tts,0.6185515357647091,0.1230359794194286,192
qwen3-tts,0.5734052804689254,0.1612342482519283,186
vevo,0.5625258911536147,0.16230363598117795,193
gpt-sovits,0.504126441117478,0.15255188315081444,192
hierspeech,0.496392639035388,0.11781344728976036,193
fish-speech,0.48687450348404404,0.14313442479079178,193
vibevoice,0.48598779539073195,0.13901607089867082,192
whisperspeech,0.4409204733032019,0.12214071597178046,193
metavoice,0.4180100682563115,0.11202997627056945,193
xtts,0.404474214607261,0.11576329923853472,193
voicecraft,0.373675051220592,0.1435737747176976,192
tortoise,0.3721197235120579,0.1373882580484708,188
styletts2,0.37103610483851907,0.11628442659942603,192
openvoice,0.2831737673647391,0.11008462414361746,192
