model,per_mean,per_std,n_utterances
openvoice,0.4553019914671345,0.3219960634054425,192
hierspeech,0.4757915637874852,0.2761587882721287,193
styletts2,0.48312189433519465,0.31275820340815297,192
tortoise,0.4839131377323377,0.26736137367044355,188
f5-tts,0.4937415531505104,0.2811020060143557,191
fish-speech,0.49797330230356035,0.23492530079154858,193
indextts,0.5237381077314095,0.24968238338580742,192
whisperspeech,0.5626915005323518,0.19379469574178956,193
vibevoice,0.5754440889811971,0.2447901276428284,192
xtts,0.5806103320883926,0.3005378139302316,193
maskgct,0.617320402999715,0.28516052091750604,191
qwen3-tts,0.6389166265340759,0.7868000914069614,186
recording,0.6594173879825684,0.22510831481257632,386
e2-tts,0.6604298514367014,0.3235764161387664,191
vevo,0.6620296842239405,0.2975128732275603,193
gpt-sovits,0.702119621602026,0.3972520223135751,186
voicecraft,0.7263921516695155,0.32316310540895476,191
metavoice,0.7676136610252423,0.16647880296372328,192
