model,wer_mean,wer_std,n_utterances
styletts2,0.06417753329098437,0.16059979561322993,192
openvoice,0.06689361082149269,0.12944087545605035,192
fish-speech,0.0838113549296513,0.17964612343745104,193
indextts,0.09901890078520513,0.1954782488422329,192
f5-tts,0.12335627139715215,0.2612858907544719,192
hierspeech,0.13697907671875917,0.22908875251718636,193
tortoise,0.15091766149542174,0.29634048304300203,188
xtts,0.17300050152084817,0.3558408106474973,193
maskgct,0.17518025986750152,0.2663324099783832,191
whisperspeech,0.18184699839235838,0.27246148018387667,193
vibevoice,0.18622332547064802,0.3081745902802048,192
qwen3-tts,0.19962043867971593,0.5209274101250629,186
recording,0.20553073438891656,0.34127913649100516,193
gpt-sovits,0.270440204724292,0.448342103428409,192
e2-tts,0.30821987219772995,0.35030309164006207,191
vevo,0.3480203755408422,0.3743602692831439,193
voicecraft,0.3594612789437757,0.3712825642296574,192
metavoice,0.43252722593027737,0.3962953726657889,193
